date,top_feature,top_attribution
2022-07-06,olr_anomaly,1.171
2022-07-07,olr_anomaly,1.171
2022-07-08,olr_anomaly,1.1663
2022-07-09,olr_anomaly,1.1709
2022-07-10,olr_anomaly,1.1304
2022-07-11,olr_anomaly,1.1663
2022-07-12,olr_anomaly,1.1709
2022-07-13,orographic_index,1.119
2022-07-14,coastal_convergence_index,0.9505
2022-07-15,coastal_convergence_index,1.6589
2022-07-16,lps_flag,10.3325
2022-07-17,lps_flag,10.3325
2022-07-18,lps_flag,10.3325
2022-07-19,rainfall_anomaly,8.0474
2022-07-20,rainfall_anomaly,8.0534
2022-07-21,rainfall_anomaly,8.0534
2022-07-22,rainfall_anomaly,8.0534
2022-07-23,rainfall_anomaly,8.0534
2022-07-24,rainfall_anomaly,8.0474
2022-07-25,rainfall_anomaly,8.0474
2022-07-26,orographic_index,1.3437
2022-07-27,olr_anomaly,1.1304
2022-07-28,olr_anomaly,1.1663
2022-07-29,olr_anomaly,1.171
2022-07-30,olr_anomaly,1.171
2022-07-31,olr_anomaly,1.171
2022-08-01,olr_anomaly,1.1664
2022-08-02,olr_anomaly,1.1664
2022-08-03,olr_anomaly,1.2852
2022-08-04,olr_anomaly,1.2852
2022-08-05,olr_anomaly,1.2852
2022-08-06,olr_anomaly,1.2852
2022-08-07,olr_anomaly,1.2872
2022-08-08,olr_anomaly,1.2872
2022-08-09,zonal_shear_850,0.8345
2022-08-10,zonal_shear_850,0.8453
2022-08-11,lps_flag,10.3325
2022-08-12,olr_anomaly,1.0725
2022-08-13,olr_anomaly,1.1414
2022-08-14,olr_anomaly,1.1324
2022-08-15,olr_anomaly,1.1323
2022-08-16,orographic_index,1.1003
2022-08-17,coastal_convergence_index,0.9533
2022-08-18,rainfall_anomaly,8.0474
2022-08-19,rainfall_anomaly,8.0474
2022-08-20,rainfall_anomaly,8.0534
2022-08-21,rainfall_anomaly,7.2518
2022-08-22,rainfall_anomaly,8.0476
2022-08-23,rainfall_anomaly,8.0534
2022-08-24,rainfall_anomaly,7.2518
2022-08-25,rainfall_anomaly,8.0474
2022-08-26,zonal_shear_850,1.227
2022-08-27,zonal_shear_850,1.0301
2022-08-28,olr_anomaly,1.1709
2022-08-29,olr_anomaly,1.1709
2022-08-30,olr_anomaly,1.1709
2022-08-31,orographic_index,1.1211
2022-09-01,orographic_index,1.129
2022-09-02,orographic_index,1.1269
2022-09-03,orographic_index,1.1269
2022-09-04,olr_anomaly,1.1663
2022-09-05,olr_anomaly,1.1663
2022-09-06,olr_anomaly,1.1664
2022-09-07,olr_anomaly,1.171
2022-09-08,olr_anomaly,1.171
2022-09-09,olr_anomaly,1.171
2022-09-10,coastal_convergence_index,0.9493
2022-09-11,coastal_convergence_index,0.9434
2022-09-12,lps_flag,10.3325
2022-09-13,lps_flag,10.3325
2022-09-14,olr_anomaly,1.171
2022-09-15,olr_anomaly,1.2852
2022-09-16,olr_anomaly,1.2872
2022-09-17,olr_anomaly,1.2872
2022-09-18,olr_anomaly,1.2871
2022-09-19,orographic_index,1.2098
2022-09-20,coastal_convergence_index,0.9235
2022-09-21,rainfall_anomaly,8.0474
2022-09-22,coastal_convergence_index,0.9376
2022-09-23,coastal_convergence_index,0.9332
2022-09-24,rainfall_anomaly,8.0474
2022-09-25,rainfall_anomaly,7.5624
2022-09-26,rainfall_anomaly,8.0474
2022-09-27,wd_flag,13.1153
2022-09-28,wd_flag,13.1153
2022-09-29,rainfall_anomaly,8.0474
2022-09-30,rainfall_anomaly,8.0474
2023-06-01,olr_anomaly,1.1804
2023-06-02,olr_anomaly,1.1804
2023-06-03,orographic_index,1.1209
2023-06-04,olr_anomaly,1.1709
2023-06-05,olr_anomaly,1.1399
2023-06-06,olr_anomaly,1.1305
2023-06-07,coastal_convergence_index,0.9479
2023-06-08,rainfall_anomaly,8.0474
2023-06-09,coastal_convergence_index,0.9376
2023-06-10,coastal_convergence_index,0.9472
2023-06-11,orographic_index,1.1197
2023-06-12,zonal_shear_850,1.1216
2023-06-13,zonal_shear_850,1.122
2023-06-14,zonal_shear_850,1.1012
2023-06-15,zonal_shear_850,1.1016
2023-06-16,zonal_shear_850,1.122
2023-06-17,zonal_shear_850,1.0743
2023-06-18,zonal_shear_850,-3.2457
2023-06-19,rainfall_anomaly,8.0468
2023-06-20,lps_flag,10.3325
2023-06-21,lps_flag,10.3325
2023-06-22,lps_flag,10.3325
2023-06-23,lps_flag,10.3325
2023-06-24,orographic_index,1.3536
2023-06-25,orographic_index,1.2014
2023-06-26,olr_anomaly,1.2872
2023-06-27,orographic_index,1.1188
2023-06-28,olr_anomaly,1.171
2023-06-29,olr_anomaly,1.171
2023-06-30,olr_anomaly,1.1804
2023-07-01,olr_anomaly,1.171
2023-07-02,olr_anomaly,1.171
2023-07-03,olr_anomaly,1.171
2023-07-04,olr_anomaly,1.171
2023-07-05,olr_anomaly,1.171
2023-07-06,olr_anomaly,1.1664
2023-07-07,olr_anomaly,1.1304
2023-07-08,olr_anomaly,1.1663
2023-07-09,olr_anomaly,1.1663
2023-07-10,olr_anomaly,1.1709
2023-07-11,olr_anomaly,1.1663
2023-07-12,olr_anomaly,1.1709
2023-07-13,orographic_index,1.1271
2023-07-14,orographic_index,1.1271
2023-07-15,orographic_index,1.3946
2023-07-16,zonal_shear_850,1.1012
2023-07-17,zonal_shear_850,1.0882
2023-07-18,rainfall_anomaly,8.0476
2023-07-19,rainfall_anomaly,8.0534
